pinyin_num,pinyin_tone,sound_A,sound_B,sound_Forvo,pinyin_letters,correct_tone,character,HSK_level
ling2,líng,sounds/ling2-A_HSK1.mp3,sounds/ling2-B_HSK1.mp3,sounds/ling2-Forvo_HSK1.mp3,ling,2,〇,HSK1
shang4,shàng,sounds/shang4-A_HSK1.mp3,sounds/shang4-B_HSK1.mp3,sounds/shang4-Forvo_HSK1.mp3,shang,4,上,HSK1
qie3,qiě,sounds/qie3-A_HSK1.mp3,sounds/qie3-B_HSK1.mp3,sounds/qie3-Forvo_HSK1.mp3,qie,3,且,HSK1
shi4,shì,sounds/shi4-A_HSK1.mp3,sounds/shi4-B_HSK1.mp3,sounds/shi4-Forvo_HSK1.mp3,shi,4,世,HSK1
zhuan1,zhuān,sounds/zhuan1-A_HSK1.mp3,sounds/zhuan1-B_HSK1.mp3,sounds/zhuan1-Forvo_HSK1.mp3,zhuan,1,专,HSK1
chou3,chǒu,sounds/chou3-A_HSK1.mp3,sounds/chou3-B_HSK1.mp3,sounds/chou3-Forvo_HSK1.mp3,chou,3,丑,HSK1
dong1,dōng,sounds/dong1-A_HSK1.mp3,sounds/dong1-B_HSK1.mp3,sounds/dong1-Forvo_HSK1.mp3,dong,1,东,HSK1
si1,sī,sounds/si1-A_HSK1.mp3,sounds/si1-B_HSK1.mp3,sounds/si1-Forvo_HSK1.mp3,si,1,丝,HSK1
diu1,diū,sounds/diu1-A_HSK1.mp3,sounds/diu1-B_HSK1.mp3,sounds/diu1-Forvo_HSK1.mp3,diu,1,丢,HSK1
liang3,liǎng,sounds/liang3-A_HSK1.mp3,sounds/liang3-B_HSK1.mp3,sounds/liang3-Forvo_HSK1.mp3,liang,3,两,HSK1
yan2,yán,sounds/yan2-A_HSK1.mp3,sounds/yan2-B_HSK1.mp3,sounds/yan2-Forvo_HSK1.mp3,yan,2,严,HSK1
sang4,sàng,sounds/sang4-A_HSK1.mp3,sounds/sang4-B_HSK1.mp3,sounds/sang4-Forvo_HSK1.mp3,sang,4,丧,HSK1
cong2,cóng,sounds/cong2-A_HSK1.mp3,sounds/cong2-B_HSK1.mp3,sounds/cong2-Forvo_HSK1.mp3,cong,2,丛,HSK1
zhong1,zhōng,sounds/zhong1-A_HSK1.mp3,sounds/zhong1-B_HSK1.mp3,sounds/zhong1-Forvo_HSK1.mp3,zhong,1,中,HSK1
feng1,fēng,sounds/feng1-A_HSK1.mp3,sounds/feng1-B_HSK1.mp3,sounds/feng1-Forvo_HSK1.mp3,feng,1,丰,HSK1
chuan4,chuàn,sounds/chuan4-A_HSK1.mp3,sounds/chuan4-B_HSK1.mp3,sounds/chuan4-Forvo_HSK1.mp3,chuan,4,串,HSK1
li4,lì,sounds/li4-A_HSK1.mp3,sounds/li4-B_HSK1.mp3,sounds/li4-Forvo_HSK1.mp3,li,4,丽,HSK1
ju3,jǔ,sounds/ju3-A_HSK1.mp3,sounds/ju3-B_HSK1.mp3,sounds/ju3-Forvo_HSK1.mp3,ju,3,举,HSK1
nai3,nǎi,sounds/nai3-A_HSK1.mp3,sounds/nai3-B_HSK1.mp3,sounds/nai3-Forvo_HSK1.mp3,nai,3,乃,HSK1
jiu3,jiǔ,sounds/jiu3-A_HSK1.mp3,sounds/jiu3-B_HSK1.mp3,sounds/jiu3-Forvo_HSK1.mp3,jiu,3,久,HSK1
yi4,yì,sounds/yi4-A_HSK1.mp3,sounds/yi4-B_HSK1.mp3,sounds/yi4-Forvo_HSK1.mp3,yi,4,义,HSK1
zhi1,zhī,sounds/zhi1-A_HSK1.mp3,sounds/zhi1-B_HSK1.mp3,sounds/zhi1-Forvo_HSK1.mp3,zhi,1,之,HSK1
wu1,wū,sounds/wu1-A_HSK1.mp3,sounds/wu1-B_HSK1.mp3,sounds/wu1-Forvo_HSK1.mp3,wu,1,乌,HSK1
zha4,zhà,sounds/zha4-A_HSK1.mp3,sounds/zha4-B_HSK1.mp3,sounds/zha4-Forvo_HSK1.mp3,zha,4,乍,HSK1
hu1,hū,sounds/hu1-A_HSK1.mp3,sounds/hu1-B_HSK1.mp3,sounds/hu1-Forvo_HSK1.mp3,hu,1,乎,HSK1
le4,lè,sounds/le4-A_HSK1.mp3,sounds/le4-B_HSK1.mp3,sounds/le4-Forvo_HSK1.mp3,le,4,乐,HSK1
ping1,pīng,sounds/ping1-A_HSK1.mp3,sounds/ping1-B_HSK1.mp3,sounds/ping1-Forvo_HSK1.mp3,ping,1,乒,HSK1
pang1,pāng,sounds/pang1-A_HSK1.mp3,sounds/pang1-B_HSK1.mp3,sounds/pang1-Forvo_HSK1.mp3,pang,1,乓,HSK1
qiao2,qiáo,sounds/qiao2-A_HSK1.mp3,sounds/qiao2-B_HSK1.mp3,sounds/qiao2-Forvo_HSK1.mp3,qiao,2,乔,HSK1
guai1,guāi,sounds/guai1-A_HSK1.mp3,sounds/guai1-B_HSK1.mp3,sounds/guai1-Forvo_HSK1.mp3,guai,1,乖,HSK1
cheng2,chéng,sounds/cheng2-A_HSK1.mp3,sounds/cheng2-B_HSK1.mp3,sounds/cheng2-Forvo_HSK1.mp3,cheng,2,乘,HSK1
yi3,yǐ,sounds/yi3-A_HSK1.mp3,sounds/yi3-B_HSK1.mp3,sounds/yi3-Forvo_HSK1.mp3,yi,3,乙,HSK1
jiu3,jiǔ,sounds/jiu3-A_HSK1.mp3,sounds/jiu3-B_HSK1.mp3,sounds/jiu3-Forvo_HSK1.mp3,jiu,3,九,HSK1
ye3,yě,sounds/ye3-A_HSK1.mp3,sounds/ye3-B_HSK1.mp3,sounds/ye3-Forvo_HSK1.mp3,ye,3,也,HSK1
xi2,xí,sounds/xi2-A_HSK1.mp3,sounds/xi2-B_HSK1.mp3,sounds/xi2-Forvo_HSK1.mp3,xi,2,习,HSK1
xiang1,xiāng,sounds/xiang1-A_HSK1.mp3,sounds/xiang1-B_HSK1.mp3,sounds/xiang1-Forvo_HSK1.mp3,xiang,1,乡,HSK1
shu1,shū,sounds/shu1-A_HSK1.mp3,sounds/shu1-B_HSK1.mp3,sounds/shu1-Forvo_HSK1.mp3,shu,1,书,HSK1
mai3,mǎi,sounds/mai3-A_HSK1.mp3,sounds/mai3-B_HSK1.mp3,sounds/mai3-Forvo_HSK1.mp3,mai,3,买,HSK1
luan4,luàn,sounds/luan4-A_HSK1.mp3,sounds/luan4-B_HSK1.mp3,sounds/luan4-Forvo_HSK1.mp3,luan,4,乱,HSK1
ru3,rǔ,sounds/ru3-A_HSK1.mp3,sounds/ru3-B_HSK1.mp3,sounds/ru3-Forvo_HSK1.mp3,ru,3,乳,HSK1
qian2,qián,sounds/qian2-A_HSK1.mp3,sounds/qian2-B_HSK1.mp3,sounds/qian2-Forvo_HSK1.mp3,qian,2,乾,HSK1
le,le,sounds/le-A_HSK1.mp3,sounds/le-B_HSK1.mp3,sounds/le-Forvo_HSK1.mp3,le,,了,HSK1
yu3,yǔ,sounds/yu3-A_HSK1.mp3,sounds/yu3-B_HSK1.mp3,sounds/yu3-Forvo_HSK1.mp3,yu,3,予,HSK1
zheng1,zhēng,sounds/zheng1-A_HSK1.mp3,sounds/zheng1-B_HSK1.mp3,sounds/zheng1-Forvo_HSK1.mp3,zheng,1,争,HSK1
shi4,shì,sounds/shi4-A_HSK1.mp3,sounds/shi4-B_HSK1.mp3,sounds/shi4-Forvo_HSK1.mp3,shi,4,事,HSK1
er4,èr,sounds/er4-A_HSK1.mp3,sounds/er4-B_HSK1.mp3,sounds/er4-Forvo_HSK1.mp3,er,4,二,HSK1
yu2,yú,sounds/yu2-A_HSK1.mp3,sounds/yu2-B_HSK1.mp3,sounds/yu2-Forvo_HSK1.mp3,yu,2,于,HSK1
yun2,yún,sounds/yun2-A_HSK1.mp3,sounds/yun2-B_HSK1.mp3,sounds/yun2-Forvo_HSK1.mp3,yun,2,云,HSK1
hu4,hù,sounds/hu4-A_HSK1.mp3,sounds/hu4-B_HSK1.mp3,sounds/hu4-Forvo_HSK1.mp3,hu,4,互,HSK1
wu3,wǔ,sounds/wu3-A_HSK1.mp3,sounds/wu3-B_HSK1.mp3,sounds/wu3-Forvo_HSK1.mp3,wu,3,五,HSK1
jing3,jǐng,sounds/jing3-A_HSK1.mp3,sounds/jing3-B_HSK1.mp3,sounds/jing3-Forvo_HSK1.mp3,jing,3,井,HSK1
ya4,yà,sounds/ya4-A_HSK1.mp3,sounds/ya4-B_HSK1.mp3,sounds/ya4-Forvo_HSK1.mp3,ya,4,亚,HSK1
xie1,xiē,sounds/xie1-A_HSK1.mp3,sounds/xie1-B_HSK1.mp3,sounds/xie1-Forvo_HSK1.mp3,xie,1,些,HSK1
wang2,wáng,sounds/wang2-A_HSK1.mp3,sounds/wang2-B_HSK1.mp3,sounds/wang2-Forvo_HSK1.mp3,wang,2,亡,HSK1
kang4,kàng,sounds/kang4-A_HSK1.mp3,sounds/kang4-B_HSK1.mp3,sounds/kang4-Forvo_HSK1.mp3,kang,4,亢,HSK1
jiao1,jiāo,sounds/jiao1-A_HSK1.mp3,sounds/jiao1-B_HSK1.mp3,sounds/jiao1-Forvo_HSK1.mp3,jiao,1,交,HSK1
chan3,chǎn,sounds/chan3-A_HSK1.mp3,sounds/chan3-B_HSK1.mp3,sounds/chan3-Forvo_HSK1.mp3,chan,3,产,HSK1
hai4,hài,sounds/hai4-A_HSK1.mp3,sounds/hai4-B_HSK1.mp3,sounds/hai4-Forvo_HSK1.mp3,hai,4,亥,HSK1
yi4,yì,sounds/yi4-A_HSK1.mp3,sounds/yi4-B_HSK1.mp3,sounds/yi4-Forvo_HSK1.mp3,yi,4,亦,HSK1
qin1,qīn,sounds/qin1-A_HSK1.mp3,sounds/qin1-B_HSK1.mp3,sounds/qin1-Forvo_HSK1.mp3,qin,1,亲,HSK1
ren2,rén,sounds/ren2-A_HSK1.mp3,sounds/ren2-B_HSK1.mp3,sounds/ren2-Forvo_HSK1.mp3,ren,2,人,HSK1
yi4,yì,sounds/yi4-A_HSK1.mp3,sounds/yi4-B_HSK1.mp3,sounds/yi4-Forvo_HSK1.mp3,yi,4,亿,HSK1
shen2,shén,sounds/shen2-A_HSK1.mp3,sounds/shen2-B_HSK1.mp3,sounds/shen2-Forvo_HSK1.mp3,shen,2,什,HSK1
ren2,rén,sounds/ren2-A_HSK1.mp3,sounds/ren2-B_HSK1.mp3,sounds/ren2-Forvo_HSK1.mp3,ren,2,仁,HSK1
jin3,jǐn,sounds/jin3-A_HSK1.mp3,sounds/jin3-B_HSK1.mp3,sounds/jin3-Forvo_HSK1.mp3,jin,3,仅,HSK1
pu1,pū,sounds/pu1-A_HSK1.mp3,sounds/pu1-B_HSK1.mp3,sounds/pu1-Forvo_HSK1.mp3,pu,1,仆,HSK1
chou2,chóu,sounds/chou2-A_HSK1.mp3,sounds/chou2-B_HSK1.mp3,sounds/chou2-Forvo_HSK1.mp3,chou,2,仇,HSK1
jin1,jīn,sounds/jin1-A_HSK1.mp3,sounds/jin1-B_HSK1.mp3,sounds/jin1-Forvo_HSK1.mp3,jin,1,今,HSK1
jie4,jiè,sounds/jie4-A_HSK1.mp3,sounds/jie4-B_HSK1.mp3,sounds/jie4-Forvo_HSK1.mp3,jie,4,介,HSK1
reng2,réng,sounds/reng2-A_HSK1.mp3,sounds/reng2-B_HSK1.mp3,sounds/reng2-Forvo_HSK1.mp3,reng,2,仍,HSK1
cong2,cóng,sounds/cong2-A_HSK1.mp3,sounds/cong2-B_HSK1.mp3,sounds/cong2-Forvo_HSK1.mp3,cong,2,从,HSK1
cang1,cāng,sounds/cang1-A_HSK1.mp3,sounds/cang1-B_HSK1.mp3,sounds/cang1-Forvo_HSK1.mp3,cang,1,仓,HSK1
zai3,zǎi,sounds/zai3-A_HSK1.mp3,sounds/zai3-B_HSK1.mp3,sounds/zai3-Forvo_HSK1.mp3,zai,3,仔,HSK1
ta1,tā,sounds/ta1-A_HSK1.mp3,sounds/ta1-B_HSK1.mp3,sounds/ta1-Forvo_HSK1.mp3,ta,1,他,HSK1
zhang4,zhàng,sounds/zhang4-A_HSK1.mp3,sounds/zhang4-B_HSK1.mp3,sounds/zhang4-Forvo_HSK1.mp3,zhang,4,仗,HSK1
fu4,fù,sounds/fu4-A_HSK1.mp3,sounds/fu4-B_HSK1.mp3,sounds/fu4-Forvo_HSK1.mp3,fu,4,付,HSK1
xian1,xiān,sounds/xian1-A_HSK1.mp3,sounds/xian1-B_HSK1.mp3,sounds/xian1-Forvo_HSK1.mp3,xian,1,仙,HSK1
qian1,qiān,sounds/qian1-A_HSK1.mp3,sounds/qian1-B_HSK1.mp3,sounds/qian1-Forvo_HSK1.mp3,qian,1,仟,HSK1
dai4,dài,sounds/dai4-A_HSK1.mp3,sounds/dai4-B_HSK1.mp3,sounds/dai4-Forvo_HSK1.mp3,dai,4,代,HSK1
ling4,lìng,sounds/ling4-A_HSK1.mp3,sounds/ling4-B_HSK1.mp3,sounds/ling4-Forvo_HSK1.mp3,ling,4,令,HSK1
yi3,yǐ,sounds/yi3-A_HSK1.mp3,sounds/yi3-B_HSK1.mp3,sounds/yi3-Forvo_HSK1.mp3,yi,3,以,HSK1
yi2,yí,sounds/yi2-A_HSK1.mp3,sounds/yi2-B_HSK1.mp3,sounds/yi2-Forvo_HSK1.mp3,yi,2,仪,HSK1
men,men,sounds/men-A_HSK1.mp3,sounds/men-B_HSK1.mp3,sounds/men-Forvo_HSK1.mp3,men,,们,HSK1
jian4,jiàn,sounds/jian4-A_HSK1.mp3,sounds/jian4-B_HSK1.mp3,sounds/jian4-Forvo_HSK1.mp3,jian,4,件,HSK1
jia4,jià,sounds/jia4-A_HSK1.mp3,sounds/jia4-B_HSK1.mp3,sounds/jia4-Forvo_HSK1.mp3,jia,4,价,HSK1
ren4,rèn,sounds/ren4-A_HSK1.mp3,sounds/ren4-B_HSK1.mp3,sounds/ren4-Forvo_HSK1.mp3,ren,4,任,HSK1
fen4,fèn,sounds/fen4-A_HSK1.mp3,sounds/fen4-B_HSK1.mp3,sounds/fen4-Forvo_HSK1.mp3,fen,4,份,HSK1
fang3,fǎng,sounds/fang3-A_HSK1.mp3,sounds/fang3-B_HSK1.mp3,sounds/fang3-Forvo_HSK1.mp3,fang,3,仿,HSK1
